pressure (mbar),pump speed (l/s)
1.07563E-05,655.8764135
1.22465E-05,655.8764135
1.39431E-05,655.8764135
1.58747E-05,655.8764135
1.80739E-05,655.8764135
2.05779E-05,655.8764135
2.34287E-05,655.8764135
2.66744E-05,655.8764135
3.03698E-05,655.8764135
3.45771E-05,655.8764135
3.93673E-05,655.8764135
4.48212E-05,655.8764135
5.10305E-05,655.8764135
5.81002E-05,655.8764135
6.61492E-05,655.8764135
7.53133E-05,655.8764135
8.5747E-05,655.8764135
9.76261E-05,655.8764135
0.000111151,655.8764135
0.000126549,655.8764135
0.000144081,655.8764135
0.000164042,655.8764135
0.000186768,655.8764135
0.000212642,655.8764135
0.000242101,655.8764135
0.000275641,655.8764135
0.000313827,655.8764135
0.000357304,655.8764135
0.000406803,655.8764135
0.000463161,655.8764135
0.000527326,655.8764135
0.00060038,655.8764135
0.000683554,655.8764135
0.000778252,655.8764135
0.000886069,655.8764135
0.001008822,655.8764135
0.001148581,655.8764135
0.001307702,655.8764135
0.001488867,655.6272246
0.00169513,654.38128
0.001929969,653.1353355
0.002197341,652.3877687
0.002501753,650.3942575
0.002848339,648.6499351
0.003242939,645.9088571
0.003692206,640.9250788
0.004203713,633.4494115
0.004786083,624.7277996
0.005449133,616.0061877
0.006204039,606.0386313
0.007063528,595.572697
0.008042088,583.3624404
0.009156214,570.1554281
0.010424689,555.4532823
0.011868894,539.7543809
0.013513174,523.5571017
0.015219799,507.2601469
0.016957619,490.5146521
0.018893866,471.9749971
0.021051197,454.3324222
0.023454854,436.0917939
0.026132965,418.1501923
0.029116867,399.6105373
0.032441475,381.0708823
0.03575699,363.9516042
0.03941135,346.0847592
0.043439185,328.4421843
0.047878665,310.201556
0.052771858,292.5589811
0.058165135,275.2154329
0.064806519,256.3767512
0.071429738,240.2293098
0.079585694,222.0385193
0.089636844,203.4490265
0.099871715,186.7035317
0.112484856,170.9547925
0.128068169,156.7510246
0.145810347,145.2883347
0.166010473,133.8256448
0.189009063,123.1105216
0.215193809,113.392154
0.245006111,103.1754087
0.278948519,92.70947443
0.304150701,86.97812947
