Pressure (mbar),Pump speed (l/s)
1.05944E-05,58.24521428
1.19941E-05,58.24521428
1.35787E-05,58.24521428
1.53727E-05,58.24521428
1.74036E-05,58.24521428
1.97029E-05,58.24521428
2.23059E-05,58.24521428
2.52529E-05,58.24521428
2.85891E-05,58.24521428
3.23662E-05,58.24521428
3.66422E-05,58.24521428
4.14832E-05,58.24521428
4.69637E-05,58.24521428
5.31683E-05,58.24521428
6.01926E-05,58.24521428
6.81449E-05,58.24521428
7.71478E-05,58.24521428
8.73401E-05,58.24521428
9.8879E-05,58.22621679
0.000111942,58.24521428
0.000126732,58.24521428
0.000143475,58.24521428
0.00016243,58.24521428
0.000183889,58.24521428
0.000208183,58.24521428
0.000235687,58.24521428
0.000266825,58.24521428
0.000302077,58.24521428
0.000341985,58.24521428
0.000387166,58.24521428
0.000438317,58.24521428
0.000496225,58.24521428
0.000561783,58.24521428
0.000636003,58.24521428
0.000720028,58.24521428
0.000815154,58.24521428
0.000922848,58.24521428
0.001044769,58.22621679
0.001182798,58.24521428
0.001339063,58.24521428
0.001515972,58.24521428
0.001716254,58.24521428
0.001942996,58.24521428
0.002199694,58.24521428
0.002490305,58.24521428
0.00281931,58.24521428
0.003191782,58.24521428
0.003613462,58.24521428
0.004090853,58.24521428
0.004631314,58.24521428
0.005243177,58.24521428
0.005935877,58.15022686
0.006720092,57.998247
0.007607913,57.80827218
0.008613028,57.5613049
0.009750933,57.08636784
0.011012803,56.77907822
0.012713506,56.29466376
0.014295785,55.72047019
0.016145806,54.58296924
0.018134175,53.46211777
0.020529961,52.23891469
0.022784166,51.17815076
0.026841953,49.91221402
0.031047208,48.87945537
0.034787404,47.53063411
0.038577193,46.2312063
0.043160706,44.89269796
0.046229659,43.75488445
0.051246133,42.7432685
0.054830207,41.57492332
0.060466505,40.64191213
0.064314286,39.63310921
0.071005404,38.46883492
0.078469892,37.15800863
0.085826983,35.89150979
0.094849599,34.62754395
0.106275943,33.38225897
0.112412323,32.24037457
0.124107456,31.05981672
0.137627899,29.74899043
0.152621278,28.41536715
0.169248057,27.12733783
0.187686181,25.88490247
0.208132981,24.55127919
0.231894694,23.24148912
0.2565646,22.26659712
0.273544467,21.2652575
0.303743371,20.33890406
0.338385194,19.3193725
0.362178547,18.25279955
0.399268568,17.58110284
0.453355148,16.59187678
0.489733281,15.54362284
0.548730481,14.84546535
0.610986983,13.90508996
0.685603421,13.12347925
0.781935734,12.34729639
0.867120925,11.51140716
0.977339247,10.82749779
1.111374226,10.1625859
1.258202802,9.440681561
1.424429551,8.889754567
1.612617254,8.39582002
1.825667268,7.825895543
2.066864264,7.350958479
2.339926865,6.99000631
2.649064976,6.610056659
2.999044693,6.268101973
3.395261782,5.926147287
3.843824867,5.622187565
4.35164961,5.394217775
4.926565331,5.204242949
5.577435716,5.033265606
6.314295474,4.900283228
7.14850504,4.748303367
8.09292573,4.577326024
9.162118025,4.349356233
9.849901922,4.444343646
